antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ASPECT_PRICE'}),frozenset({'ASPECT_FOOD'}),0.14301191765980498,0.10834236186348863,0.024918743228602384,0.17424242424242425,1.6082575757575759,1.0,0.009424494294712354,1.0798055801286193,0.44132358599461335,0.11004784688995216,0.07390736035936524,0.20212121212121215
frozenset({'ASPECT_FOOD'}),frozenset({'ASPECT_PRICE'}),0.10834236186348863,0.14301191765980498,0.024918743228602384,0.23,1.6082575757575759,1.0,0.009424494294712354,1.1129715355067467,0.4241639811928787,0.11004784688995216,0.1015044247787611,0.20212121212121215
frozenset({'ASPECT_ROOM'}),"frozenset({'SENTIMENT_POSITIVE', 'ASPECT_PRICE'})",0.4848320693391116,0.047128927410617555,0.03629469122426869,0.07486033519553073,1.5884158479419508,1.0,0.013445075822046203,1.0299753743568807,0.7190702638228416,0.073224043715847,0.029103001006793475,0.42248763886213314
"frozenset({'SENTIMENT_POSITIVE', 'ASPECT_PRICE'})",frozenset({'ASPECT_ROOM'}),0.047128927410617555,0.4848320693391116,0.03629469122426869,0.7701149425287356,1.5884158479419506,1.0,0.013445075822046203,2.240980498374864,0.3887639686728382,0.073224043715847,0.5537667548980504,0.42248763886213314
frozenset({'ASPECT_FOOD'}),frozenset({'ASPECT_CLEANLINESS'}),0.10834236186348863,0.23889490790899243,0.040628385698808236,0.375,1.5697278911564625,1.0,0.014745947138787387,1.2177681473456121,0.4070473876063183,0.13250883392226148,0.1788256227758007,0.27253401360544216
frozenset({'ASPECT_CLEANLINESS'}),frozenset({'ASPECT_FOOD'}),0.23889490790899243,0.10834236186348863,0.040628385698808236,0.17006802721088435,1.5697278911564625,1.0,0.014745947138787387,1.0743743672628456,0.47686832740213514,0.13250883392226148,0.06922574619155074,0.27253401360544216
"frozenset({'ASPECT_CLEANLINESS', 'ASPECT_ROOM'})",frozenset({'ASPECT_FOOD'}),0.23889490790899243,0.10834236186348863,0.040628385698808236,0.17006802721088435,1.5697278911564625,1.0,0.014745947138787387,1.0743743672628456,0.47686832740213514,0.13250883392226148,0.06922574619155074,0.27253401360544216
frozenset({'ASPECT_FOOD'}),"frozenset({'ASPECT_CLEANLINESS', 'ASPECT_ROOM'})",0.10834236186348863,0.23889490790899243,0.040628385698808236,0.375,1.5697278911564625,1.0,0.014745947138787387,1.2177681473456121,0.4070473876063183,0.13250883392226148,0.1788256227758007,0.27253401360544216
frozenset({'ASPECT_SERVICE'}),"frozenset({'ASPECT_PRICE', 'ASPECT_ROOM'})",0.3477789815817985,0.07313109425785481,0.03954496208017335,0.11370716510903428,1.554840198453906,1.0,0.014111504597214091,1.045781788201155,0.5471260182951806,0.10369318181818182,0.0437775726424765,0.3272239529248876
"frozenset({'ASPECT_PRICE', 'ASPECT_ROOM'})",frozenset({'ASPECT_SERVICE'}),0.07313109425785481,0.3477789815817985,0.03954496208017335,0.5407407407407409,1.554840198453906,1.0,0.014111504597214091,1.420158669136407,0.3850027621434234,0.10369318181818182,0.2958533284114681,0.3272239529248876
"frozenset({'SENTIMENT_POSITIVE', 'ASPECT_ROOM'})",frozenset({'ASPECT_SERVICE'}),0.10184182015167931,0.3477789815817985,0.05471289274106175,0.5372340425531915,1.5447570756280242,1.0,0.01929444824627404,1.4093971432485277,0.3926357653859475,0.13854595336076816,0.29047677952922885,0.3472774574136674
frozenset({'ASPECT_SERVICE'}),"frozenset({'SENTIMENT_POSITIVE', 'ASPECT_ROOM'})",0.3477789815817985,0.10184182015167931,0.05471289274106175,0.1573208722741433,1.544757075628024,1.0,0.01929444824627404,1.0658365091730533,0.5406894510049011,0.13854595336076816,0.061769801096543134,0.3472774574136674
frozenset({'SENTIMENT_NEGATIVE'}),frozenset({'ASPECT_SERVICE'}),0.13813651137594798,0.3477789815817985,0.06608884073672806,0.4784313725490197,1.3756765011300471,1.0,0.018047865491138355,1.2504989450875295,0.3168540252032438,0.15741935483870967,0.20031919744642052,0.3342312625984974
frozenset({'ASPECT_SERVICE'}),frozenset({'SENTIMENT_NEGATIVE'}),0.3477789815817985,0.13813651137594798,0.06608884073672806,0.19003115264797507,1.3756765011300471,1.0,0.018047865491138355,1.0640699224935413,0.418699961875715,0.15741935483870967,0.06021213563052294,0.3342312625984974
"frozenset({'SENTIMENT_POSITIVE', 'ASPECT_ROOM'})",frozenset({'ASPECT_AMENITIES'}),0.10184182015167931,0.26706392199349943,0.035752979414951244,0.35106382978723405,1.3145310949031117,1.0,0.008554703502287164,1.1294424808624763,0.26640347991373325,0.10731707317073172,0.11460741299869481,0.24246903456907343
frozenset({'ASPECT_AMENITIES'}),"frozenset({'SENTIMENT_POSITIVE', 'ASPECT_ROOM'})",0.26706392199349943,0.10184182015167931,0.035752979414951244,0.13387423935091278,1.3145310949031117,1.0,0.008554703502287164,1.0369835659607076,0.3264574794508276,0.10731707317073172,0.035664563233887205,0.24246903456907343
"frozenset({'ASPECT_AMENITIES', 'ASPECT_ROOM'})",frozenset({'ASPECT_CLEANLINESS'}),0.12784398699891658,0.23889490790899243,0.03791982665222102,0.2966101694915254,1.2415926822706482,1.0,0.007378549151396414,1.08205302249083,0.22310559006211164,0.11532125205930807,0.07583087037818924,0.22767016411084207
frozenset({'ASPECT_CLEANLINESS'}),"frozenset({'ASPECT_AMENITIES', 'ASPECT_ROOM'})",0.23889490790899243,0.12784398699891658,0.03791982665222102,0.15873015873015872,1.2415926822706482,1.0,0.007378549151396414,1.0367137513031748,0.25565836298932365,0.11532125205930807,0.035413585724144714,0.22767016411084207
"frozenset({'ASPECT_PRICE', 'ASPECT_ROOM'})",frozenset({'SENTIMENT_POSITIVE'}),0.07313109425785481,0.40249187432286027,0.03629469122426869,0.49629629629629635,1.2330591695329247,1.0,0.006860020025142941,1.1862293671531452,0.20392194492179663,0.08261405672009865,0.15699271347503446,0.2932356313244604
frozenset({'SENTIMENT_POSITIVE'}),"frozenset({'ASPECT_PRICE', 'ASPECT_ROOM'})",0.40249187432286027,0.07313109425785481,0.03629469122426869,0.0901749663526245,1.2330591695329247,1.0,0.006860020025142941,1.018733131607121,0.31632860177805444,0.08261405672009865,0.018388654521884762,0.2932356313244604
"frozenset({'ASPECT_FOOD', 'ASPECT_SERVICE'})",frozenset({'ASPECT_ROOM'}),0.08342361863488625,0.4848320693391116,0.04983748645720477,0.5974025974025974,1.232184575201335,1.0,0.009391040802695996,1.279610666480271,0.20558382156439506,0.0961337513061651,0.21851229737665062,0.35009794674599143
frozenset({'ASPECT_ROOM'}),"frozenset({'ASPECT_FOOD', 'ASPECT_SERVICE'})",0.4848320693391116,0.08342361863488625,0.04983748645720477,0.10279329608938548,1.232184575201335,1.0,0.009391040802695996,1.021588868395737,0.36577058473917606,0.0961337513061651,0.021132638641256255,0.35009794674599143
frozenset({'ASPECT_FOOD'}),frozenset({'ASPECT_ROOM'}),0.10834236186348863,0.4848320693391116,0.06067172264355363,0.56,1.1550391061452514,1.0,0.008143871144191593,1.1708362060474737,0.15053810102412776,0.11393692777212612,0.14590956887486864,0.34256983240223465
frozenset({'ASPECT_ROOM'}),frozenset({'ASPECT_FOOD'}),0.4848320693391116,0.10834236186348863,0.06067172264355363,0.12513966480446928,1.1550391061452514,1.0,0.008143871144191593,1.0191999822888602,0.26055280156226523,0.11393692777212612,0.018838287502460686,0.34256983240223465
frozenset({'ASPECT_CLEANLINESS'}),"frozenset({'SENTIMENT_NEGATIVE', 'ASPECT_ROOM'})",0.23889490790899243,0.0590465872156013,0.01570964247020585,0.06575963718820861,1.1136907362333313,1.0,0.001603713454994488,1.007185570480388,0.13412688673456857,0.05566218809980805,0.007134306418787047,0.16590734152988412
"frozenset({'SENTIMENT_NEGATIVE', 'ASPECT_ROOM'})",frozenset({'ASPECT_CLEANLINESS'}),0.0590465872156013,0.23889490790899243,0.01570964247020585,0.26605504587155965,1.1136907362333313,1.0,0.001603713454994488,1.037005687973998,0.10849065967879612,0.05566218809980805,0.03568513500277515,0.16590734152988412
"frozenset({'SENTIMENT_NEGATIVE', 'ASPECT_ROOM'})",frozenset({'ASPECT_SERVICE'}),0.0590465872156013,0.3477789815817985,0.022210184182015168,0.3761467889908257,1.0815684929549287,1.0,0.0016750222142925056,1.045471926582117,0.08014940253029473,0.057746478873239436,0.04349416318693044,0.2200048586698677
frozenset({'ASPECT_SERVICE'}),"frozenset({'SENTIMENT_NEGATIVE', 'ASPECT_ROOM'})",0.3477789815817985,0.0590465872156013,0.022210184182015168,0.06386292834890965,1.0815684929549285,1.0,0.0016750222142925056,1.0051449101623693,0.1156308240823272,0.057746478873239436,0.005118575551000126,0.2200048586698677
frozenset({'ASPECT_AMENITIES'}),frozenset({'ASPECT_PRICE'}),0.26706392199349943,0.14301191765980498,0.041170097508125676,0.154158215010142,1.077939639805766,1.0,0.0029767738860867546,1.013177756819463,0.09865017310460196,0.11160058737151249,0.013006362142049413,0.22101850144446494
frozenset({'ASPECT_PRICE'}),frozenset({'ASPECT_AMENITIES'}),0.14301191765980498,0.26706392199349943,0.041170097508125676,0.2878787878787879,1.0779396398057657,1.0,0.0029767738860867546,1.029229386136788,0.08437021757934669,0.11160058737151249,0.028399292257385446,0.22101850144446494
frozenset({'ASPECT_PRICE'}),frozenset({'ASPECT_ROOM'}),0.14301191765980498,0.4848320693391116,0.07313109425785481,0.5113636363636364,1.0547232097511428,1.0,0.003794330278696925,1.0542971604222833,0.06054221098468873,0.1318359375,0.05150081254182196,0.331100812595226
frozenset({'ASPECT_ROOM'}),frozenset({'ASPECT_PRICE'}),0.4848320693391116,0.14301191765980498,0.07313109425785481,0.15083798882681562,1.0547232097511425,1.0,0.003794330278696925,1.0092162285453612,0.10071270008178504,0.1318359375,0.009132065344059198,0.331100812595226
